building_id,floor_area_m2,n_occupants,building_age_years,hvac_type,insulation_grade,avg_setpoint_c,solar_kw,has_smart_meter,monthly_kwh
BLDG-00060,206.2,1,27,electric,good,22.6,,0,217.3
BLDG-00061,453.1,2,19,electric,poor,19.2,0.0,1,642.4
BLDG-00062,437.7,2,14,electric,average,19.1,4.21,1,484.4
BLDG-00063,459.6,3,15,gas,average,21.4,4.95,1,405.7
BLDG-00064,257.2,2,62,none,average,,,0,129.2
BLDG-00065,55.5,2,20,none,poor,,0.0,1,118.9
BLDG-00066,406.1,2,38,gas,good,20.4,0.0,1,297.2
BLDG-00067,166.3,1,14,none,average,,0.0,1,149.7
BLDG-00068,413.7,4,73,electric,average,21.0,0.4,1,495.1
BLDG-00069,198.5,2,80,gas,average,18.3,,0,305.1
BLDG-00070,82.6,1,54,heat_pump,average,24.1,0.0,1,223.5
BLDG-00071,344.4,2,57,heat_pump,poor,18.8,,0,457.7
BLDG-00072,168.2,3,7,electric,good,19.0,,0,310.7
BLDG-00073,137.2,5,1,heat_pump,average,19.4,,0,337.1
BLDG-00074,129.7,1,39,gas,average,19.8,0.62,1,316.3
BLDG-00075,417.9,4,12,electric,average,21.1,0.0,1,399.1
BLDG-00076,195.5,6,19,heat_pump,average,18.5,,0,355.8
BLDG-00077,79.7,4,39,gas,average,18.2,0.0,1,231.4
BLDG-00078,388.7,1,76,heat_pump,average,22.4,,0,389.2
BLDG-00079,364.9,5,70,heat_pump,average,19.3,,0,529.1
BLDG-00080,82.9,3,75,heat_pump,poor,17.3,2.5,1,317.3
BLDG-00081,415.8,2,21,electric,poor,17.1,0.0,1,410.9
BLDG-00082,367.0,3,25,heat_pump,good,22.9,0.0,1,429.4
BLDG-00083,242.7,4,44,gas,average,20.9,,0,330.5
BLDG-00084,377.8,6,22,gas,good,20.0,,0,429.3
BLDG-00085,185.4,3,74,gas,good,23.3,,0,283.8
BLDG-00086,371.0,3,40,gas,poor,17.5,1.43,1,495.8
BLDG-00087,78.8,5,17,gas,average,20.1,0.0,1,365.1
BLDG-00088,299.7,4,53,gas,average,18.4,,0,450.4
BLDG-00089,398.3,2,80,electric,average,19.4,,0,422.3
BLDG-00090,235.5,2,67,heat_pump,poor,22.9,,0,346.8
BLDG-00091,287.6,3,22,electric,average,21.2,,0,373.5
BLDG-00092,442.9,4,4,none,average,,0.0,1,334.3
BLDG-00093,191.6,1,25,heat_pump,poor,20.9,8.42,1,300.0
BLDG-00094,154.5,1,1,heat_pump,poor,20.1,,0,256.8
BLDG-00095,368.8,3,78,gas,good,19.0,0.0,1,524.7
BLDG-00096,223.0,5,72,gas,good,17.9,,0,247.9
BLDG-00097,121.3,2,18,electric,poor,21.1,,0,443.0
BLDG-00098,266.0,5,65,gas,poor,22.5,5.17,1,538.8
BLDG-00099,93.4,4,53,electric,average,21.7,0.0,1,456.3
BLDG-00100,357.3,4,75,electric,average,20.5,0.0,1,471.5
BLDG-00101,232.0,3,69,heat_pump,poor,22.5,,0,458.4
BLDG-00102,175.6,4,55,gas,average,18.7,,0,358.7
BLDG-00103,383.9,3,62,gas,poor,22.1,,0,459.3
BLDG-00104,174.3,2,73,gas,average,17.5,,0,236.4
BLDG-00105,312.7,5,57,heat_pump,average,21.3,1.83,1,327.3
BLDG-00106,378.5,3,48,gas,average,20.6,0.0,1,449.4
BLDG-00107,442.9,3,40,gas,poor,20.3,0.0,1,661.2
BLDG-00108,88.7,1,10,heat_pump,average,22.8,,0,261.9
BLDG-00109,209.4,2,2,heat_pump,poor,21.9,0.0,1,405.3
BLDG-00110,327.0,3,8,none,average,,,0,285.4
BLDG-00111,320.9,6,10,gas,average,19.3,2.52,1,518.4
BLDG-00112,468.9,2,31,gas,average,18.8,,0,627.5
BLDG-00113,47.7,6,61,heat_pump,good,19.1,,0,170.7
BLDG-00114,218.4,2,78,heat_pump,poor,20.4,0.0,1,470.9
BLDG-00115,235.3,3,74,heat_pump,average,17.8,0.0,1,295.6
BLDG-00116,371.6,2,43,heat_pump,average,17.8,,0,370.3
BLDG-00117,379.8,1,49,gas,average,18.4,,0,359.0
BLDG-00118,255.1,2,43,none,poor,,0.0,1,274.1
BLDG-00119,80.3,2,74,heat_pump,good,19.6,,0,286.1
BLDG-00120,62.9,2,30,gas,poor,23.2,,0,324.4
BLDG-00121,247.7,4,36,electric,average,21.1,,0,375.1
BLDG-00122,479.2,1,8,electric,good,22.3,0.0,1,406.0
BLDG-00123,446.3,4,59,electric,poor,22.1,0.0,1,754.8
BLDG-00124,392.6,2,30,gas,good,20.8,0.0,1,377.0
BLDG-00125,166.1,4,30,heat_pump,good,18.9,0.0,1,279.6
BLDG-00126,327.5,3,75,gas,poor,20.9,0.0,1,459.1
BLDG-00127,452.9,4,25,gas,average,20.3,,0,558.5
BLDG-00128,403.0,7,51,heat_pump,average,21.0,,0,551.8
BLDG-00129,445.3,2,65,electric,average,20.4,,0,639.6
BLDG-00130,252.7,4,18,heat_pump,average,22.2,,0,409.9
BLDG-00131,441.3,4,54,electric,good,23.0,0.56,1,412.8
BLDG-00132,220.3,2,24,electric,average,18.2,0.0,1,302.2
BLDG-00133,257.7,3,73,electric,average,17.0,0.0,1,374.1
BLDG-00134,407.3,1,80,none,average,,,0,376.3
BLDG-00135,368.7,2,64,none,average,,0.0,1,410.0
BLDG-00136,221.0,4,56,electric,poor,20.2,0.0,1,428.1
BLDG-00137,203.2,1,66,heat_pump,poor,24.1,,0,372.4
BLDG-00138,286.8,4,32,electric,average,23.3,,0,445.2
BLDG-00139,329.8,7,26,electric,poor,21.7,5.1,1,484.8
BLDG-00140,410.4,3,41,electric,good,18.5,5.45,1,393.0
BLDG-00141,120.0,1,64,gas,average,22.6,0.0,1,377.0
BLDG-00142,64.5,4,6,electric,average,21.3,0.0,1,298.4
BLDG-00143,127.8,3,62,electric,average,20.5,0.0,1,335.8
BLDG-00144,422.2,2,4,electric,average,18.7,0.0,1,519.4
BLDG-00145,425.0,2,27,gas,average,21.2,0.0,1,311.8
BLDG-00146,306.0,2,44,gas,average,18.6,,0,322.6
BLDG-00147,312.9,3,24,gas,good,20.3,0.0,1,365.8
BLDG-00148,355.7,2,79,gas,poor,20.3,0.0,1,521.8
BLDG-00149,217.1,6,26,gas,good,23.7,,0,252.7
BLDG-00150,132.8,4,22,none,average,,,0,278.2
BLDG-00151,398.7,6,31,electric,average,22.3,,0,592.2
BLDG-00152,262.2,4,40,electric,average,21.2,,0,478.3
BLDG-00153,109.9,3,59,gas,average,22.5,0.0,1,284.8
BLDG-00154,198.8,6,21,gas,average,21.9,3.79,1,382.3
BLDG-00155,165.7,2,56,electric,poor,19.6,0.0,1,413.3
BLDG-00156,100.6,2,35,electric,good,18.5,2.26,1,283.9
BLDG-00157,103.5,5,75,electric,average,20.6,10.73,1,271.6
BLDG-00158,414.7,4,65,electric,average,21.9,0.0,1,555.3
BLDG-00159,205.8,4,47,electric,poor,18.8,,0,504.2
BLDG-00160,320.9,5,31,electric,average,24.5,0.0,1,389.5
BLDG-00161,396.5,3,70,heat_pump,average,18.8,,0,385.4
BLDG-00162,110.8,3,28,heat_pump,poor,16.8,0.0,1,221.4
BLDG-00163,147.5,3,15,electric,average,22.6,0.0,1,345.6
BLDG-00164,471.3,2,21,heat_pump,average,17.0,,0,317.7
BLDG-00165,52.2,4,1,gas,average,20.9,0.0,1,397.9
BLDG-00166,355.5,1,64,heat_pump,good,19.6,0.0,1,74.4
BLDG-00167,256.2,2,67,gas,poor,19.0,3.74,1,463.4
BLDG-00168,339.7,5,62,electric,poor,21.2,0.0,1,540.3
BLDG-00169,442.2,2,49,heat_pump,average,21.7,2.79,1,264.6
BLDG-00170,410.0,3,67,electric,poor,18.9,0.0,1,755.5
BLDG-00171,66.6,3,40,gas,average,17.9,,0,191.9
BLDG-00172,389.4,2,67,heat_pump,average,20.8,0.0,1,362.3
BLDG-00173,325.6,2,8,heat_pump,good,21.3,5.12,1,318.8
BLDG-00174,308.9,3,62,electric,poor,17.6,0.0,1,478.2
BLDG-00175,252.5,5,21,heat_pump,good,17.1,7.08,1,289.8
BLDG-00176,97.4,6,10,heat_pump,average,21.1,0.0,1,365.4
BLDG-00177,275.4,2,4,electric,good,19.2,,0,252.6
BLDG-00178,78.1,2,53,heat_pump,good,21.4,3.0,1,238.4
BLDG-00179,415.5,2,79,gas,average,22.1,,0,554.1
BLDG-00180,398.6,2,52,none,poor,,0.0,1,486.3
BLDG-00181,367.5,3,71,gas,good,18.5,1.92,1,481.0
BLDG-00182,312.8,1,8,heat_pump,poor,21.2,,0,328.8
BLDG-00183,419.0,4,44,electric,poor,19.8,0.77,1,703.8
BLDG-00184,110.9,1,72,heat_pump,poor,17.1,,0,166.4
BLDG-00185,172.3,1,19,electric,good,23.0,,0,243.9
BLDG-00186,67.7,1,27,gas,poor,20.8,0.0,1,252.7
BLDG-00187,77.1,1,60,gas,poor,19.0,0.0,1,215.9
BLDG-00188,111.1,2,41,heat_pump,poor,17.4,,0,277.1
BLDG-00189,359.0,2,71,heat_pump,average,20.5,,0,464.0
BLDG-00190,259.0,5,6,electric,average,23.2,1.37,1,447.5
BLDG-00191,308.2,4,2,gas,poor,21.5,,0,424.3
BLDG-00192,129.0,2,18,heat_pump,average,19.2,,0,151.4
BLDG-00193,354.5,2,74,electric,average,19.4,3.57,1,444.5
BLDG-00194,273.3,5,79,gas,average,21.9,,0,385.6
BLDG-00195,244.2,5,8,gas,poor,21.6,3.11,1,412.2
BLDG-00196,429.9,4,17,heat_pump,average,21.1,0.0,1,378.4
BLDG-00197,219.1,1,28,electric,average,21.2,,0,372.1
BLDG-00198,270.5,6,1,none,average,,0.0,1,209.9
BLDG-00199,361.4,4,5,gas,good,19.0,0.0,1,285.4
BLDG-00200,349.7,1,5,none,poor,,0.0,1,427.9
BLDG-00201,153.9,5,54,gas,poor,22.3,0.0,1,437.2
BLDG-00202,169.4,1,3,heat_pump,poor,22.2,,0,387.7
BLDG-00203,189.4,2,17,heat_pump,average,21.9,7.79,1,379.9
BLDG-00204,111.5,5,21,none,good,,0.0,1,87.1
BLDG-00205,439.0,3,64,none,average,,,0,433.2
BLDG-00206,186.2,5,53,gas,good,21.9,0.0,1,386.6
BLDG-00207,278.8,2,10,none,poor,,0.0,1,402.1
BLDG-00208,89.8,1,77,heat_pump,good,17.6,,0,200.0
BLDG-00209,321.8,3,30,heat_pump,average,20.5,,0,456.1
BLDG-00210,327.9,2,37,electric,average,24.6,0.0,1,571.0
BLDG-00211,392.7,4,55,electric,poor,21.7,,0,544.7
BLDG-00212,187.9,1,63,none,average,,5.19,1,333.3
BLDG-00213,466.9,2,35,heat_pump,average,19.0,0.0,1,436.4
BLDG-00214,258.9,3,62,none,average,,0.0,1,282.8
BLDG-00215,50.7,2,15,gas,poor,17.5,0.0,1,328.8
BLDG-00216,61.2,1,41,gas,average,20.8,,0,176.5
BLDG-00217,76.6,4,33,heat_pump,poor,21.2,0.0,1,279.0
BLDG-00218,378.6,4,62,heat_pump,average,20.9,0.0,1,370.9
BLDG-00219,54.2,3,41,none,good,,,0,130.3
BLDG-00220,465.9,2,3,electric,good,22.9,,0,404.3
BLDG-00221,365.0,2,37,gas,poor,25.1,0.0,1,489.7
BLDG-00222,108.8,4,57,gas,average,18.9,0.0,1,317.9
BLDG-00223,54.2,3,46,gas,poor,21.1,0.0,1,306.5
BLDG-00224,457.6,1,31,electric,poor,22.4,0.0,1,694.9
BLDG-00225,278.8,4,8,gas,poor,18.6,,0,528.1
BLDG-00226,335.1,3,21,heat_pump,average,18.6,0.0,1,356.7
BLDG-00227,165.3,1,23,heat_pump,average,24.1,0.0,1,246.9
BLDG-00228,93.6,4,67,gas,good,21.0,1.39,1,306.8
BLDG-00229,258.5,2,37,gas,average,20.7,10.19,1,399.5
BLDG-00230,119.0,7,16,gas,poor,21.1,0.0,1,399.0
BLDG-00231,461.9,1,68,heat_pump,poor,18.6,,0,474.4
BLDG-00232,457.4,3,70,heat_pump,poor,24.2,0.0,1,593.9
BLDG-00233,383.5,4,39,gas,good,22.5,0.0,1,350.5
BLDG-00234,115.6,2,32,gas,average,22.3,0.0,1,284.2
BLDG-00235,176.2,1,30,gas,average,21.2,,0,472.5
BLDG-00236,121.9,3,19,gas,good,21.0,,0,345.2
BLDG-00237,111.4,1,3,electric,average,22.2,0.0,1,334.3
BLDG-00238,358.2,1,71,none,poor,,,0,411.4
BLDG-00239,257.4,2,49,gas,poor,22.5,0.0,1,561.9
BLDG-00240,459.4,6,43,gas,poor,19.8,1.28,1,565.4
BLDG-00241,309.6,1,2,heat_pump,average,21.1,0.0,1,406.3
BLDG-00242,107.0,6,20,electric,poor,21.4,,0,588.9
BLDG-00243,318.1,4,8,electric,poor,20.6,0.0,1,557.4
BLDG-00244,396.8,2,45,heat_pump,good,23.6,0.0,1,441.8
BLDG-00245,322.6,3,76,electric,good,21.3,,0,379.0
BLDG-00246,428.4,1,6,electric,poor,20.0,0.0,1,553.8
BLDG-00247,88.5,3,23,gas,good,19.5,0.0,1,68.4
BLDG-00248,247.2,4,27,heat_pump,good,17.4,,0,186.0
BLDG-00249,132.2,1,72,gas,average,19.1,0.0,1,299.8
BLDG-00250,394.7,5,13,none,average,,0.0,1,396.7
BLDG-00251,181.7,2,78,heat_pump,average,19.4,,0,322.5
BLDG-00252,132.0,1,25,electric,good,23.6,0.0,1,246.4
BLDG-00253,169.3,3,53,gas,poor,21.8,,0,352.9
BLDG-00254,182.6,1,43,gas,average,17.5,,0,338.9
BLDG-00255,344.4,5,59,gas,average,20.3,3.22,1,381.6
BLDG-00256,391.2,3,16,electric,good,19.0,0.0,1,203.3
BLDG-00257,212.6,1,12,gas,poor,22.0,,0,408.5
BLDG-00258,351.9,3,61,gas,good,21.3,,0,484.7
BLDG-00259,74.6,4,16,gas,poor,20.4,,0,278.2
BLDG-00260,393.7,2,43,heat_pump,average,23.1,0.0,1,443.3
BLDG-00261,396.0,5,63,electric,poor,20.7,,0,672.9
BLDG-00262,366.4,4,69,electric,average,20.0,,0,507.8
BLDG-00263,476.1,3,10,electric,average,19.0,3.7,1,537.5
BLDG-00264,197.8,3,20,electric,average,18.7,0.0,1,310.0
BLDG-00265,431.5,3,38,electric,average,22.6,0.0,1,520.5
BLDG-00266,293.6,3,65,electric,average,21.4,0.0,1,411.6
BLDG-00267,309.9,1,74,gas,poor,22.3,,0,424.6
BLDG-00268,270.8,2,40,gas,poor,20.3,,0,393.0
BLDG-00269,184.1,5,27,gas,average,16.5,,0,342.0
BLDG-00270,133.3,6,21,heat_pump,poor,20.4,,0,372.0
BLDG-00271,436.9,1,58,gas,good,21.4,0.0,1,384.8
BLDG-00272,457.8,3,38,electric,poor,19.6,0.0,1,566.0
BLDG-00273,340.2,3,35,gas,poor,18.2,0.0,1,467.6
BLDG-00274,89.2,5,67,heat_pump,average,19.6,0.0,1,254.4
BLDG-00275,196.5,1,44,electric,poor,21.1,,0,487.2
BLDG-00276,151.7,3,53,gas,poor,16.9,,0,374.0
BLDG-00277,175.7,1,13,heat_pump,average,19.9,0.0,1,286.3
BLDG-00278,335.7,5,25,gas,average,19.5,0.0,1,395.8
BLDG-00279,454.0,2,55,gas,good,22.8,0.0,1,308.3
BLDG-00280,245.2,3,16,electric,poor,19.8,,0,411.3
BLDG-00281,121.6,6,25,gas,poor,18.1,0.0,1,373.7
BLDG-00282,406.5,1,8,heat_pump,good,24.2,,0,331.2
BLDG-00283,398.7,3,6,electric,good,21.3,0.0,1,339.3
BLDG-00284,386.2,5,13,heat_pump,poor,22.5,0.0,1,651.5
BLDG-00285,376.1,4,15,gas,poor,21.2,0.0,1,599.0
BLDG-00286,107.1,1,3,gas,good,21.3,3.47,1,127.4
BLDG-00287,291.1,6,37,electric,average,21.6,0.0,1,418.7
BLDG-00288,456.3,4,6,gas,poor,22.3,,0,594.5
BLDG-00289,248.4,4,42,gas,good,19.9,,0,249.0
BLDG-00290,353.2,4,16,heat_pump,average,21.7,,0,393.2
BLDG-00291,184.0,5,10,gas,average,21.3,1.32,1,230.8
BLDG-00292,139.9,3,3,heat_pump,average,20.3,0.0,1,164.8
BLDG-00293,406.8,3,65,gas,poor,23.3,0.0,1,543.2
BLDG-00294,330.0,2,79,none,average,,0.0,1,368.5
BLDG-00295,416.4,1,3,gas,poor,20.1,,0,525.6
BLDG-00296,286.6,4,77,gas,poor,19.7,0.0,1,394.3
BLDG-00297,58.8,4,4,gas,poor,21.0,,0,337.8
BLDG-00298,420.0,3,52,electric,good,19.7,,0,416.1
BLDG-00299,425.7,4,9,electric,poor,21.3,0.0,1,554.5
BLDG-00300,318.6,2,75,electric,good,19.4,0.0,1,346.6
BLDG-00301,385.6,3,42,heat_pump,average,21.0,0.0,1,317.4
BLDG-00302,86.8,5,5,electric,average,21.2,,0,304.9
BLDG-00303,344.7,4,54,electric,good,22.9,4.91,1,441.8
BLDG-00304,192.5,2,26,none,poor,,8.87,1,284.6
BLDG-00305,453.2,3,66,electric,average,18.4,0.95,1,543.7
BLDG-00306,46.0,3,56,electric,average,22.0,1.68,1,377.2
BLDG-00307,415.5,8,20,none,average,,3.08,1,311.3
BLDG-00308,284.0,5,3,heat_pump,average,21.6,3.16,1,359.3
BLDG-00309,284.4,3,42,heat_pump,average,21.6,0.0,1,341.3
BLDG-00310,45.2,3,10,gas,good,20.5,4.61,1,338.3
BLDG-00311,432.8,2,24,electric,poor,21.0,,0,472.8
BLDG-00312,150.3,4,60,heat_pump,average,21.0,0.0,1,221.7
BLDG-00313,465.7,5,8,gas,good,24.1,,0,474.8
BLDG-00314,113.4,3,12,gas,average,20.5,0.0,1,367.3
BLDG-00315,82.5,1,58,gas,average,21.6,,0,194.0
BLDG-00316,400.0,6,46,heat_pump,poor,20.2,0.0,1,458.4
BLDG-00317,83.2,4,79,none,good,,,0,119.0
BLDG-00318,111.4,1,27,heat_pump,poor,17.4,0.0,1,374.6
BLDG-00319,126.9,3,46,gas,poor,21.8,0.0,1,264.7
BLDG-00320,261.6,5,61,electric,average,18.8,,0,507.5
BLDG-00321,245.5,1,72,gas,good,21.6,,0,340.1
BLDG-00322,357.8,2,36,electric,average,19.2,,0,534.7
BLDG-00323,138.2,2,4,heat_pump,average,20.2,0.0,1,283.1
BLDG-00324,448.0,1,15,heat_pump,average,19.6,0.0,1,401.3
BLDG-00325,426.3,3,27,gas,good,19.1,0.0,1,490.2
BLDG-00326,201.2,4,37,gas,average,20.1,0.0,1,185.0
BLDG-00327,312.6,2,65,gas,good,20.4,,0,379.7
BLDG-00328,239.1,1,36,electric,average,17.2,,0,441.2
BLDG-00329,233.3,8,42,electric,poor,20.5,0.0,1,685.6
BLDG-00330,102.2,4,50,electric,good,20.8,,0,362.7
BLDG-00331,253.2,3,63,gas,poor,21.4,0.0,1,469.6
BLDG-00332,65.0,2,70,gas,average,21.5,,0,412.9
BLDG-00333,295.5,4,33,gas,average,21.1,,0,568.7
BLDG-00334,335.0,3,0,heat_pump,average,20.6,0.0,1,400.3
BLDG-00335,84.8,2,23,electric,average,20.4,,0,267.5
BLDG-00336,172.6,1,20,gas,poor,20.5,0.0,1,380.5
BLDG-00337,452.5,3,57,none,average,,0.0,1,373.4
BLDG-00338,459.3,2,57,heat_pump,good,17.5,0.0,1,293.4
BLDG-00339,293.9,3,61,gas,average,21.8,,0,377.9
BLDG-00340,147.4,4,71,gas,good,18.4,,0,355.5
BLDG-00341,181.6,3,33,gas,average,22.0,2.38,1,273.0
BLDG-00342,239.3,5,4,gas,average,20.4,,0,325.2
BLDG-00343,321.6,3,17,gas,average,21.0,0.0,1,308.4
BLDG-00344,291.3,1,44,electric,poor,19.9,,0,449.6
BLDG-00345,393.7,4,51,electric,average,18.8,,0,381.2
BLDG-00346,318.0,1,43,electric,average,20.9,,0,442.0
BLDG-00347,234.3,5,37,heat_pump,poor,21.2,,0,416.3
BLDG-00348,175.6,4,22,heat_pump,poor,21.9,0.0,1,535.3
BLDG-00349,381.6,3,30,heat_pump,good,22.1,,0,169.2
BLDG-00350,269.2,4,57,heat_pump,good,24.0,,0,432.7
BLDG-00351,459.6,4,74,electric,good,24.4,0.0,1,494.6
BLDG-00352,427.7,7,49,heat_pump,poor,19.3,0.0,1,663.8
BLDG-00353,389.3,4,61,electric,good,17.8,,0,484.5
BLDG-00354,144.1,4,72,electric,good,21.8,0.0,1,363.8
BLDG-00355,68.8,4,59,heat_pump,average,20.8,,0,314.5
BLDG-00356,93.5,5,53,electric,average,19.5,0.0,1,263.5
BLDG-00357,284.2,7,80,electric,good,22.9,0.0,1,577.0
BLDG-00358,349.9,5,19,none,good,,0.0,1,418.5
BLDG-00359,164.9,3,49,none,average,,,0,209.4
BLDG-00360,474.1,1,2,gas,average,19.1,2.76,1,465.0
BLDG-00361,249.7,3,75,heat_pump,good,20.7,,0,200.2
BLDG-00362,54.1,2,75,heat_pump,poor,21.9,,0,286.1
BLDG-00363,421.7,1,75,gas,average,19.8,0.37,1,447.9
BLDG-00364,361.1,4,44,none,average,,,0,328.7
BLDG-00365,423.6,4,7,gas,good,20.3,,0,553.7
BLDG-00366,380.6,5,47,gas,good,20.6,,0,355.8
BLDG-00367,150.3,1,22,electric,average,19.8,0.0,1,282.9
BLDG-00368,105.4,3,13,electric,good,20.1,,0,196.8
BLDG-00369,186.7,6,59,none,poor,,,0,296.5
BLDG-00370,136.7,5,65,gas,good,20.4,,0,319.4
BLDG-00371,122.7,6,79,heat_pump,good,23.3,0.0,1,249.2
BLDG-00372,93.2,4,40,gas,average,19.9,0.0,1,252.3
BLDG-00373,198.5,2,23,gas,good,22.3,,0,270.9
BLDG-00374,238.8,1,25,gas,average,20.9,,0,425.7
BLDG-00375,131.7,4,69,electric,average,19.5,0.88,1,364.1
BLDG-00376,148.1,2,9,gas,poor,19.5,,0,218.3
BLDG-00377,95.9,2,40,heat_pump,poor,16.2,6.05,1,122.7
BLDG-00378,304.1,2,55,electric,poor,24.1,,0,597.5
BLDG-00379,473.3,2,4,electric,poor,19.4,0.0,1,679.2
BLDG-00380,130.0,2,19,heat_pump,good,22.7,,0,295.8
BLDG-00381,156.0,1,7,heat_pump,average,19.5,,0,258.4
BLDG-00382,388.4,5,67,gas,average,15.6,0.0,1,320.5
BLDG-00383,478.0,4,13,gas,average,19.5,0.0,1,561.1
BLDG-00384,365.6,1,56,heat_pump,average,22.0,0.0,1,370.0
BLDG-00385,440.1,1,68,gas,average,23.6,0.0,1,524.9
BLDG-00386,329.8,3,5,electric,good,22.5,0.0,1,396.4
BLDG-00387,72.0,4,48,heat_pump,poor,19.4,0.0,1,236.2
BLDG-00388,67.5,2,65,electric,poor,19.3,0.0,1,335.6
BLDG-00389,299.1,3,56,gas,average,20.7,0.0,1,399.5
BLDG-00390,223.5,1,75,heat_pump,average,18.3,0.0,1,392.3
BLDG-00391,384.2,3,77,none,average,,,0,419.6
BLDG-00392,116.0,2,55,gas,good,17.5,,0,212.0
BLDG-00393,238.7,2,41,gas,average,22.5,,0,257.4
BLDG-00394,380.9,1,34,gas,poor,19.2,,0,493.7
BLDG-00395,307.3,3,21,heat_pump,average,22.3,3.34,1,335.9
BLDG-00396,144.1,2,24,electric,good,19.1,,0,211.7
BLDG-00397,148.0,5,32,none,good,,,0,290.1
BLDG-00398,264.1,2,53,gas,average,19.9,0.0,1,291.0
BLDG-00399,259.9,2,7,gas,average,20.0,,0,295.8
BLDG-00400,389.0,1,25,electric,average,21.1,0.0,1,423.8
BLDG-00401,59.5,5,46,gas,average,21.1,0.0,1,326.6
BLDG-00402,219.2,3,33,electric,average,23.1,,0,309.9
