customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,num_support_tickets,avg_monthly_gb,is_senior,has_dependents,churned,retention_call_outcome
CUST-00022,36,32.19,1150.24,month_to_month,credit_card,fiber_optic,0,16.4,1,0,1,churn_confirmed
CUST-00023,52,110.5,5656.82,month_to_month,electronic_check,none,2,,0,0,1,churn_confirmed
CUST-00024,28,40.49,1124.04,month_to_month,credit_card,dsl,1,34.5,0,1,0,saved
CUST-00025,20,75.25,1488.62,two_year,bank_transfer,dsl,1,49.6,0,1,0,saved
CUST-00026,46,109.95,5000.91,month_to_month,credit_card,fiber_optic,2,40.5,0,0,1,churn_confirmed
CUST-00027,37,96.02,3632.05,month_to_month,electronic_check,fiber_optic,1,149.7,0,0,1,churn_confirmed
CUST-00028,42,98.12,4072.52,month_to_month,mailed_check,fiber_optic,0,48.2,0,0,1,churn_confirmed
CUST-00029,32,52.66,1705.1,month_to_month,credit_card,dsl,1,103.5,0,1,1,churn_confirmed
CUST-00030,1,95.31,,month_to_month,credit_card,dsl,0,113.3,1,0,1,churn_confirmed
CUST-00031,50,57.7,2878.68,one_year,electronic_check,dsl,2,73.4,0,1,0,saved
CUST-00032,35,35.22,1267.34,month_to_month,mailed_check,none,1,,0,1,0,saved
CUST-00033,36,34.28,1257.53,month_to_month,electronic_check,fiber_optic,1,259.6,0,0,0,not_contacted
CUST-00034,48,66.83,3285.89,two_year,mailed_check,fiber_optic,0,79.5,0,0,0,saved
CUST-00035,2,98.01,192.5,month_to_month,mailed_check,none,0,,0,0,1,not_contacted
CUST-00036,61,48.99,3052.66,month_to_month,electronic_check,none,2,,0,0,1,churn_confirmed
CUST-00037,67,116.44,7750.08,two_year,electronic_check,none,1,,0,0,0,saved
CUST-00038,24,58.1,1428.77,one_year,bank_transfer,fiber_optic,0,28.4,0,1,0,saved
CUST-00039,64,58.01,3728.47,one_year,electronic_check,fiber_optic,3,282.0,0,0,0,not_contacted
CUST-00040,16,46.76,754.21,two_year,electronic_check,dsl,1,29.3,0,0,0,saved
CUST-00041,26,117.59,3078.26,one_year,electronic_check,dsl,0,101.0,0,1,0,saved
CUST-00042,21,95.67,2026.62,two_year,credit_card,dsl,1,156.3,0,0,0,saved
CUST-00043,24,18.51,456.36,two_year,credit_card,dsl,1,66.7,0,0,0,saved
CUST-00044,68,62.82,4251.7,month_to_month,electronic_check,dsl,2,177.9,0,0,0,saved
CUST-00045,68,40.03,2782.31,month_to_month,bank_transfer,dsl,1,182.3,0,0,0,saved
CUST-00046,59,36.01,2063.07,month_to_month,credit_card,fiber_optic,3,47.0,0,1,1,churn_confirmed
CUST-00047,29,28.17,817.54,one_year,credit_card,dsl,0,280.5,0,0,0,saved
CUST-00048,40,29.37,1177.88,month_to_month,electronic_check,fiber_optic,2,143.9,0,1,0,not_contacted
CUST-00049,38,48.59,1864.94,one_year,credit_card,fiber_optic,2,28.4,0,0,0,saved
CUST-00050,52,89.99,4586.29,one_year,bank_transfer,fiber_optic,0,133.3,0,0,0,saved
CUST-00051,32,69.04,2273.3,two_year,bank_transfer,dsl,3,133.4,0,0,0,saved
CUST-00052,32,46.09,1465.24,two_year,bank_transfer,fiber_optic,2,93.7,0,0,0,saved
CUST-00053,32,72.37,2303.86,month_to_month,credit_card,none,2,,0,0,0,saved
CUST-00054,33,36.61,1184.79,month_to_month,electronic_check,dsl,0,118.6,1,1,0,saved
CUST-00055,37,90.48,3418.51,month_to_month,electronic_check,fiber_optic,2,110.2,1,0,0,saved
CUST-00056,42,27.22,1173.16,one_year,credit_card,dsl,2,196.7,0,0,0,not_contacted
CUST-00057,58,102.08,5871.72,two_year,credit_card,dsl,1,148.9,0,0,1,churn_confirmed
CUST-00058,60,113.48,7010.42,month_to_month,bank_transfer,dsl,1,135.4,1,1,0,saved
CUST-00059,41,83.98,3504.63,month_to_month,bank_transfer,none,0,,0,0,0,saved
CUST-00060,64,101.49,6314.82,month_to_month,bank_transfer,fiber_optic,0,123.5,0,0,0,saved
CUST-00061,68,48.26,3252.92,two_year,bank_transfer,none,2,,0,0,0,saved
CUST-00062,55,93.99,5214.93,one_year,mailed_check,fiber_optic,1,24.7,1,0,0,saved
CUST-00063,34,83.75,2914.78,two_year,bank_transfer,fiber_optic,1,175.6,0,0,0,saved
CUST-00064,64,82.26,5202.85,month_to_month,mailed_check,fiber_optic,1,80.8,0,1,0,saved
CUST-00065,55,57.01,3154.66,two_year,mailed_check,dsl,4,75.5,0,1,0,saved
CUST-00066,52,85.47,4340.52,month_to_month,credit_card,fiber_optic,0,11.9,0,0,0,saved
CUST-00067,16,94.51,1540.6,one_year,credit_card,fiber_optic,2,147.6,0,0,0,saved
CUST-00068,54,114.86,6300.2,one_year,credit_card,fiber_optic,2,151.0,0,0,0,not_contacted
CUST-00069,18,26.3,463.08,month_to_month,mailed_check,dsl,2,136.7,0,0,0,saved
CUST-00070,66,67.33,4380.05,two_year,mailed_check,dsl,2,39.3,0,0,1,churn_confirmed
CUST-00071,63,29.89,1908.35,one_year,mailed_check,fiber_optic,2,100.5,0,0,0,saved
CUST-00072,72,58.87,4196.86,month_to_month,bank_transfer,fiber_optic,2,79.4,0,1,0,not_contacted
CUST-00073,42,79.27,3258.75,month_to_month,credit_card,fiber_optic,4,107.4,0,1,0,saved
CUST-00074,4,52.44,207.42,month_to_month,electronic_check,fiber_optic,1,182.9,0,0,1,churn_confirmed
CUST-00075,17,24.8,424.77,month_to_month,mailed_check,fiber_optic,4,194.2,1,0,1,churn_confirmed
CUST-00076,62,42.71,2626.27,month_to_month,electronic_check,dsl,1,128.2,0,0,0,not_contacted
CUST-00077,59,102.9,5945.53,month_to_month,electronic_check,dsl,1,35.9,0,0,0,saved
CUST-00078,40,54.35,2123.88,month_to_month,credit_card,fiber_optic,4,100.4,0,0,0,saved
CUST-00079,54,44.05,2329.44,two_year,credit_card,fiber_optic,0,115.7,0,0,0,saved
CUST-00080,32,94.27,2968.9,two_year,electronic_check,dsl,3,64.6,0,0,0,saved
CUST-00081,72,25.65,1848.15,two_year,credit_card,dsl,1,84.3,1,1,0,saved
CUST-00082,70,63.55,4407.45,two_year,mailed_check,dsl,1,276.1,1,1,0,saved
CUST-00083,62,52.25,3308.53,one_year,mailed_check,fiber_optic,4,203.8,0,0,0,saved
CUST-00084,41,55.56,2335.85,one_year,bank_transfer,fiber_optic,2,145.9,0,1,0,not_contacted
CUST-00085,18,100.4,1823.48,month_to_month,credit_card,dsl,1,99.6,0,0,1,churn_confirmed
CUST-00086,66,36.31,2425.71,one_year,bank_transfer,fiber_optic,1,262.6,0,0,0,saved
CUST-00087,42,64.2,2760.49,one_year,credit_card,fiber_optic,1,30.5,0,1,0,saved
CUST-00088,50,29.06,1466.02,two_year,electronic_check,fiber_optic,2,141.1,0,0,0,saved
CUST-00089,8,77.27,616.01,two_year,electronic_check,none,2,,0,1,1,churn_confirmed
CUST-00090,47,111.24,5253.05,month_to_month,bank_transfer,fiber_optic,2,73.4,0,0,1,churn_confirmed
CUST-00091,69,43.54,2947.78,two_year,mailed_check,dsl,3,101.2,0,0,0,not_contacted
CUST-00092,25,47.26,1197.93,month_to_month,electronic_check,fiber_optic,3,100.0,0,0,0,saved
CUST-00093,70,61.53,4205.55,two_year,electronic_check,fiber_optic,1,240.2,0,0,0,saved
CUST-00094,11,39.44,445.57,month_to_month,credit_card,fiber_optic,1,86.9,0,0,0,saved
CUST-00095,25,41.8,1043.6,month_to_month,mailed_check,none,3,,0,0,1,churn_confirmed
CUST-00096,56,58.8,3378.7,month_to_month,bank_transfer,dsl,3,101.6,0,0,0,not_contacted
CUST-00097,66,110.46,7366.15,two_year,electronic_check,dsl,3,42.1,0,0,0,saved
CUST-00098,34,69.65,2424.93,one_year,electronic_check,none,2,,0,0,0,saved
CUST-00099,49,110.25,5290.37,one_year,credit_card,fiber_optic,3,57.3,0,0,0,saved
CUST-00100,40,19.32,794.48,two_year,bank_transfer,dsl,0,80.8,0,0,0,saved
CUST-00101,19,75.34,1424.41,month_to_month,credit_card,fiber_optic,2,130.8,0,0,0,saved
CUST-00102,28,114.75,3168.59,one_year,credit_card,fiber_optic,2,217.2,0,0,1,churn_confirmed
CUST-00103,23,72.97,1684.51,one_year,credit_card,dsl,2,107.6,1,1,0,saved
CUST-00104,55,63.01,3417.97,month_to_month,credit_card,fiber_optic,0,140.6,0,0,0,saved
CUST-00105,42,25.25,1052.26,month_to_month,electronic_check,fiber_optic,3,59.8,0,0,0,not_contacted
CUST-00106,36,60.13,2130.24,month_to_month,bank_transfer,none,1,,0,0,0,saved
CUST-00107,55,43.28,2431.82,one_year,bank_transfer,dsl,3,134.6,1,0,0,saved
CUST-00108,19,104.35,1973.34,two_year,electronic_check,fiber_optic,1,56.0,0,1,1,churn_confirmed
CUST-00109,2,47.65,96.4,month_to_month,electronic_check,fiber_optic,0,135.2,1,0,1,churn_confirmed
CUST-00110,66,35.91,2303.76,two_year,mailed_check,fiber_optic,2,318.1,0,0,0,not_contacted
CUST-00111,44,25.59,1135.05,two_year,electronic_check,fiber_optic,0,91.0,0,1,0,saved
CUST-00112,54,36.84,1998.72,two_year,electronic_check,dsl,1,178.3,1,0,0,saved
CUST-00113,11,55.37,627.16,one_year,bank_transfer,dsl,2,69.8,0,0,0,saved
CUST-00114,29,33.37,942.22,month_to_month,bank_transfer,none,1,,0,1,0,saved
CUST-00115,38,48.45,1817.9,month_to_month,mailed_check,dsl,2,283.1,0,0,0,saved
CUST-00116,65,33.65,2146.07,month_to_month,credit_card,dsl,0,103.9,1,1,0,saved
CUST-00117,26,21.29,555.37,one_year,bank_transfer,fiber_optic,0,191.9,0,1,0,saved
CUST-00118,4,45.82,178.76,one_year,electronic_check,dsl,0,171.4,1,0,0,not_contacted
CUST-00119,26,91.35,2385.97,two_year,electronic_check,dsl,0,73.5,0,0,0,saved
CUST-00120,1,63.77,,month_to_month,credit_card,none,1,,0,1,1,churn_confirmed
CUST-00121,55,90.99,5081.51,month_to_month,mailed_check,fiber_optic,2,113.9,0,0,0,not_contacted
CUST-00122,27,68.94,1911.57,month_to_month,credit_card,fiber_optic,3,75.4,1,0,1,churn_confirmed
CUST-00123,15,58.42,874.18,two_year,credit_card,fiber_optic,3,173.2,0,0,0,saved
CUST-00124,58,87.51,5137.2,two_year,electronic_check,none,2,,0,0,0,not_contacted
CUST-00125,27,26.92,746.73,month_to_month,bank_transfer,fiber_optic,1,281.9,0,0,1,churn_confirmed
CUST-00126,29,102.36,2890.12,month_to_month,mailed_check,fiber_optic,3,68.6,1,0,1,churn_confirmed
CUST-00127,12,84.16,1012.4,month_to_month,electronic_check,none,2,,0,0,1,churn_confirmed
CUST-00128,42,61.34,2624.05,one_year,mailed_check,none,4,,0,1,0,saved
CUST-00129,72,96.96,6876.88,one_year,bank_transfer,dsl,1,40.9,0,0,1,churn_confirmed
CUST-00130,64,63.18,3973.01,month_to_month,credit_card,fiber_optic,2,191.8,0,0,0,saved
CUST-00131,42,45.13,1903.59,two_year,bank_transfer,fiber_optic,1,223.3,0,0,0,saved
CUST-00132,11,20.6,232.37,one_year,bank_transfer,fiber_optic,1,113.7,1,0,0,saved
CUST-00133,25,96.03,2328.87,month_to_month,credit_card,dsl,2,111.0,0,0,0,saved
CUST-00134,29,21.95,621.65,two_year,bank_transfer,dsl,0,147.8,0,0,0,saved
CUST-00135,49,114.96,5673.21,one_year,mailed_check,fiber_optic,1,82.4,0,0,0,not_contacted
CUST-00136,64,46.49,3062.78,month_to_month,electronic_check,fiber_optic,3,133.9,0,0,0,saved
CUST-00137,20,105.68,2136.63,one_year,bank_transfer,dsl,5,42.2,0,1,1,churn_confirmed
CUST-00138,39,112.51,4473.87,one_year,electronic_check,fiber_optic,3,137.9,0,0,0,saved
CUST-00139,59,87.74,5240.55,one_year,bank_transfer,fiber_optic,2,62.9,0,0,0,saved
CUST-00140,22,74.39,1631.65,month_to_month,bank_transfer,fiber_optic,1,8.6,0,0,1,churn_confirmed
CUST-00141,65,112.05,7225.97,one_year,electronic_check,none,0,,0,0,0,saved
CUST-00142,20,106.77,2137.77,one_year,credit_card,none,2,,0,0,0,saved
CUST-00143,3,43.07,132.0,month_to_month,bank_transfer,dsl,0,196.6,0,0,1,churn_confirmed
CUST-00144,23,54.27,1251.74,one_year,bank_transfer,fiber_optic,1,105.4,0,0,0,saved
CUST-00145,41,19.01,760.63,month_to_month,credit_card,dsl,2,78.4,0,0,0,saved
CUST-00146,40,113.84,4641.23,two_year,electronic_check,fiber_optic,1,214.9,0,0,0,saved
CUST-00147,26,90.8,2340.84,month_to_month,mailed_check,fiber_optic,1,57.8,0,0,0,saved
CUST-00148,55,108.24,5897.61,month_to_month,credit_card,fiber_optic,3,79.6,0,0,0,saved
CUST-00149,51,97.17,5002.66,month_to_month,electronic_check,dsl,0,193.9,1,0,0,saved
CUST-00150,19,30.24,578.99,one_year,mailed_check,dsl,4,43.6,1,0,0,saved
CUST-00151,1,51.06,,month_to_month,credit_card,fiber_optic,2,64.0,0,0,1,churn_confirmed
CUST-00152,51,96.81,4818.53,month_to_month,electronic_check,fiber_optic,1,62.5,0,1,0,saved
CUST-00153,44,79.32,3533.51,month_to_month,mailed_check,fiber_optic,0,131.9,0,0,0,not_contacted
CUST-00154,15,81.3,1227.58,month_to_month,mailed_check,dsl,2,267.4,0,0,1,not_contacted
CUST-00155,64,44.93,2793.71,month_to_month,mailed_check,dsl,2,57.9,0,1,0,saved
CUST-00156,52,95.88,4953.81,month_to_month,electronic_check,dsl,0,75.6,1,0,0,saved
CUST-00157,35,92.93,3164.82,month_to_month,credit_card,fiber_optic,2,37.3,0,0,0,saved
CUST-00158,48,36.51,1716.35,month_to_month,mailed_check,fiber_optic,3,70.9,0,0,0,saved
CUST-00159,70,29.31,2090.63,month_to_month,credit_card,dsl,1,164.7,0,0,0,saved
CUST-00160,7,107.16,732.86,month_to_month,electronic_check,fiber_optic,0,315.8,0,0,1,churn_confirmed
CUST-00161,52,86.8,4411.5,month_to_month,electronic_check,dsl,2,25.4,0,0,1,churn_confirmed
CUST-00162,23,62.73,1457.12,one_year,credit_card,fiber_optic,2,54.7,0,0,0,saved
CUST-00163,32,71.01,2301.51,one_year,bank_transfer,none,2,,0,1,0,saved
CUST-00164,23,61.15,1420.95,month_to_month,electronic_check,dsl,1,142.1,0,0,0,saved
CUST-00165,36,90.6,3213.64,two_year,mailed_check,dsl,1,136.3,0,1,0,saved
CUST-00166,24,34.97,857.82,one_year,electronic_check,dsl,2,59.8,1,0,0,saved
CUST-00167,43,24.71,1080.38,month_to_month,electronic_check,dsl,2,91.5,0,1,0,saved
CUST-00168,30,26.81,790.48,one_year,mailed_check,fiber_optic,2,127.1,0,1,0,saved
CUST-00169,13,19.23,250.3,two_year,credit_card,fiber_optic,1,57.7,0,0,1,churn_confirmed
CUST-00170,35,114.21,4031.7,month_to_month,bank_transfer,dsl,3,172.5,0,0,1,churn_confirmed
CUST-00171,36,56.36,2074.67,month_to_month,electronic_check,fiber_optic,0,35.1,0,0,0,saved
CUST-00172,10,28.34,278.56,two_year,bank_transfer,fiber_optic,1,106.7,1,0,0,saved
CUST-00173,38,81.93,3048.43,two_year,credit_card,dsl,2,45.5,0,0,0,saved
CUST-00174,7,53.43,378.91,month_to_month,credit_card,dsl,2,133.8,0,0,1,churn_confirmed
CUST-00175,41,105.38,4355.45,two_year,bank_transfer,dsl,3,122.9,0,0,0,saved
CUST-00176,18,20.16,369.68,month_to_month,bank_transfer,fiber_optic,2,132.3,1,1,0,saved
CUST-00177,30,32.62,994.17,one_year,electronic_check,none,3,,0,0,0,not_contacted
CUST-00178,67,65.43,4476.07,one_year,mailed_check,dsl,3,211.0,0,0,0,saved
CUST-00179,69,40.11,2810.58,month_to_month,credit_card,fiber_optic,3,160.1,0,0,0,saved
CUST-00180,26,113.66,2979.8,one_year,electronic_check,fiber_optic,3,153.4,0,0,1,churn_confirmed
CUST-00181,27,60.1,1617.28,two_year,bank_transfer,dsl,2,138.9,0,0,1,churn_confirmed
CUST-00182,72,55.02,3909.38,month_to_month,bank_transfer,dsl,0,60.7,0,1,0,saved
CUST-00183,36,72.12,2634.16,month_to_month,bank_transfer,fiber_optic,0,309.7,0,0,0,saved
CUST-00184,24,39.81,981.89,month_to_month,credit_card,dsl,0,71.2,0,0,0,saved
CUST-00185,60,72.96,4450.78,month_to_month,mailed_check,dsl,3,86.4,0,1,1,churn_confirmed
CUST-00186,9,21.52,191.41,month_to_month,electronic_check,fiber_optic,2,89.5,0,0,1,not_contacted
CUST-00187,65,51.3,3406.98,month_to_month,electronic_check,fiber_optic,0,51.2,1,0,0,saved
CUST-00188,19,94.89,1805.36,month_to_month,credit_card,fiber_optic,3,179.4,0,0,0,saved
CUST-00189,42,96.39,4024.24,one_year,electronic_check,dsl,2,59.9,0,0,0,not_contacted
CUST-00190,35,78.31,2734.11,month_to_month,electronic_check,fiber_optic,3,61.9,0,1,1,churn_confirmed
CUST-00191,17,51.2,855.79,month_to_month,credit_card,fiber_optic,0,152.7,0,1,0,not_contacted
CUST-00192,3,61.61,189.38,one_year,electronic_check,fiber_optic,1,172.3,0,1,1,churn_confirmed
CUST-00193,40,84.79,3298.17,month_to_month,bank_transfer,dsl,3,138.6,0,0,0,saved
CUST-00194,7,118.17,818.08,one_year,bank_transfer,fiber_optic,6,60.7,0,1,1,churn_confirmed
CUST-00195,9,48.91,428.68,month_to_month,mailed_check,none,1,,0,1,0,saved
CUST-00196,66,52.17,3434.95,two_year,electronic_check,none,0,,0,1,0,not_contacted
CUST-00197,39,25.06,982.32,month_to_month,credit_card,dsl,2,203.5,0,1,0,saved
CUST-00198,9,111.94,988.45,two_year,credit_card,fiber_optic,5,69.7,0,0,1,churn_confirmed
CUST-00199,19,63.72,1191.45,month_to_month,mailed_check,fiber_optic,0,117.3,0,0,0,saved
CUST-00200,67,23.01,1551.79,one_year,bank_transfer,fiber_optic,3,53.6,0,0,0,saved
CUST-00201,42,62.06,2665.82,month_to_month,credit_card,fiber_optic,4,194.6,0,0,1,churn_confirmed
CUST-00202,33,97.18,3237.0,month_to_month,electronic_check,fiber_optic,0,122.9,1,0,1,churn_confirmed
CUST-00203,23,111.98,2619.9,one_year,bank_transfer,dsl,1,232.5,0,0,0,saved
CUST-00204,18,22.78,406.6,month_to_month,bank_transfer,none,0,,0,0,0,saved
CUST-00205,24,54.86,1353.54,one_year,electronic_check,dsl,2,161.3,0,0,1,churn_confirmed
CUST-00206,18,102.71,1829.45,month_to_month,bank_transfer,dsl,2,121.3,0,0,1,churn_confirmed
CUST-00207,45,48.32,2111.8,one_year,credit_card,none,2,,1,0,0,saved
CUST-00208,12,41.85,494.2,month_to_month,electronic_check,dsl,2,117.1,0,0,0,saved
CUST-00209,56,24.92,1376.2,one_year,credit_card,fiber_optic,1,90.8,1,0,0,saved
CUST-00210,26,34.43,913.31,one_year,electronic_check,fiber_optic,3,79.1,0,1,0,saved
CUST-00211,6,30.02,178.5,one_year,credit_card,dsl,0,73.4,0,0,0,saved
CUST-00212,28,96.1,2769.96,one_year,electronic_check,dsl,2,117.0,0,0,0,saved
CUST-00213,61,90.98,5407.54,month_to_month,mailed_check,dsl,1,108.4,1,0,0,saved
CUST-00214,45,35.72,1626.77,one_year,credit_card,fiber_optic,2,66.1,0,0,0,saved
CUST-00215,60,100.94,6144.16,month_to_month,bank_transfer,dsl,2,285.8,0,0,0,saved
CUST-00216,25,111.83,2809.85,month_to_month,bank_transfer,dsl,2,235.2,0,1,0,not_contacted
CUST-00217,68,110.19,7399.15,month_to_month,electronic_check,fiber_optic,2,234.6,0,0,0,saved
CUST-00218,68,32.79,2199.73,two_year,electronic_check,dsl,0,153.9,1,0,0,saved
CUST-00219,4,30.04,118.62,one_year,credit_card,fiber_optic,1,138.3,0,0,0,saved
CUST-00220,65,115.79,7705.28,two_year,mailed_check,dsl,0,206.0,0,0,0,saved
CUST-00221,25,57.3,1461.5,two_year,electronic_check,fiber_optic,1,84.3,0,0,1,churn_confirmed
CUST-00222,8,37.65,297.6,month_to_month,electronic_check,fiber_optic,2,165.0,0,0,0,saved
CUST-00223,69,49.57,3511.07,one_year,bank_transfer,fiber_optic,0,38.6,0,1,0,saved
CUST-00224,53,25.33,1364.55,two_year,electronic_check,fiber_optic,2,104.3,0,1,0,saved
CUST-00225,56,96.14,5320.25,one_year,bank_transfer,dsl,3,106.7,0,0,0,saved
CUST-00226,27,87.57,2365.85,month_to_month,mailed_check,none,2,,0,0,0,saved
CUST-00227,71,49.72,3489.69,one_year,bank_transfer,dsl,5,120.4,1,0,0,saved
CUST-00228,39,50.57,1954.41,month_to_month,bank_transfer,fiber_optic,2,77.1,0,1,0,saved
CUST-00229,34,86.33,2894.75,month_to_month,credit_card,fiber_optic,1,165.6,0,1,0,not_contacted
CUST-00230,59,21.38,1250.93,one_year,credit_card,fiber_optic,2,26.0,0,0,0,saved
CUST-00231,9,74.86,657.91,month_to_month,mailed_check,fiber_optic,0,95.4,0,0,1,churn_confirmed
CUST-00232,17,43.38,736.69,two_year,electronic_check,dsl,0,26.1,0,0,0,not_contacted
CUST-00233,19,108.91,2084.17,month_to_month,mailed_check,dsl,0,109.8,0,0,1,not_contacted
CUST-00234,31,47.79,1514.11,two_year,electronic_check,fiber_optic,1,100.6,1,0,1,churn_confirmed
CUST-00235,20,102.18,2081.22,month_to_month,bank_transfer,fiber_optic,2,61.2,0,0,1,churn_confirmed
CUST-00236,15,45.94,676.49,month_to_month,credit_card,fiber_optic,3,87.6,0,0,0,saved
CUST-00237,32,83.63,2660.44,month_to_month,credit_card,none,4,,0,0,1,churn_confirmed
CUST-00238,25,31.94,806.74,one_year,electronic_check,none,1,,0,1,0,saved
CUST-00239,10,76.38,749.13,month_to_month,bank_transfer,none,2,,0,0,1,churn_confirmed
CUST-00240,58,97.61,5724.68,one_year,electronic_check,dsl,1,135.2,0,0,1,churn_confirmed
CUST-00241,14,71.08,980.96,one_year,bank_transfer,dsl,2,174.5,1,0,0,saved
CUST-00242,63,41.26,2532.39,month_to_month,credit_card,fiber_optic,4,74.0,1,0,1,churn_confirmed
CUST-00243,60,68.24,4037.86,month_to_month,credit_card,fiber_optic,1,42.9,0,1,0,saved
CUST-00244,65,95.45,6286.81,month_to_month,mailed_check,none,0,,0,1,0,saved
CUST-00245,63,77.94,4912.29,month_to_month,mailed_check,fiber_optic,2,138.8,0,0,0,saved
CUST-00246,35,65.93,2292.99,two_year,credit_card,none,3,,0,0,0,saved
CUST-00247,3,19.31,56.92,one_year,credit_card,none,0,,0,1,0,saved
CUST-00248,12,61.08,717.34,month_to_month,mailed_check,fiber_optic,1,122.1,0,1,1,churn_confirmed
CUST-00249,32,38.71,1255.06,two_year,electronic_check,dsl,0,138.2,0,0,0,saved
CUST-00250,22,97.37,2196.29,one_year,electronic_check,fiber_optic,4,93.6,0,0,1,churn_confirmed
CUST-00251,3,93.48,283.96,one_year,mailed_check,dsl,3,144.5,0,0,0,saved
CUST-00252,29,27.47,817.46,month_to_month,electronic_check,none,0,,0,1,1,churn_confirmed
CUST-00253,8,76.99,606.08,one_year,credit_card,none,1,,0,0,0,saved
CUST-00254,42,102.04,4361.3,one_year,electronic_check,dsl,1,38.7,0,0,1,churn_confirmed
CUST-00255,27,91.12,2421.03,month_to_month,credit_card,dsl,5,123.9,1,0,1,churn_confirmed
CUST-00256,2,63.1,127.47,month_to_month,mailed_check,none,0,,0,1,0,saved
CUST-00257,40,116.87,4678.63,one_year,credit_card,fiber_optic,3,114.9,0,0,1,churn_confirmed
CUST-00258,70,53.14,3650.8,one_year,electronic_check,none,1,,0,0,0,saved
CUST-00259,41,77.07,3193.33,month_to_month,electronic_check,fiber_optic,1,188.2,0,1,0,saved
CUST-00260,39,47.24,1873.34,month_to_month,electronic_check,fiber_optic,1,233.3,0,0,0,saved
CUST-00261,53,41.98,2186.88,one_year,mailed_check,none,1,,0,0,0,not_contacted
CUST-00262,24,64.91,1527.16,month_to_month,electronic_check,dsl,1,74.7,0,1,0,saved
CUST-00263,19,46.96,894.94,two_year,bank_transfer,dsl,1,39.0,0,1,0,saved
CUST-00264,63,77.62,4900.62,one_year,bank_transfer,dsl,3,105.3,0,0,0,saved
CUST-00265,30,56.38,1689.15,two_year,bank_transfer,none,3,,0,0,1,churn_confirmed
CUST-00266,36,118.38,4259.75,one_year,electronic_check,dsl,0,15.1,0,1,0,saved
CUST-00267,41,97.42,4087.28,month_to_month,electronic_check,dsl,3,141.0,1,0,1,churn_confirmed
CUST-00268,12,27.43,333.95,one_year,bank_transfer,fiber_optic,1,206.4,0,0,0,saved
CUST-00269,39,99.26,3847.87,month_to_month,credit_card,none,3,,0,0,0,saved
CUST-00270,30,29.8,870.92,month_to_month,bank_transfer,fiber_optic,2,157.5,0,1,0,saved
CUST-00271,38,90.48,3389.94,month_to_month,electronic_check,fiber_optic,0,47.4,0,0,0,not_contacted
CUST-00272,42,42.96,1783.04,month_to_month,electronic_check,none,3,,0,1,0,saved
CUST-00273,25,77.92,1931.27,month_to_month,electronic_check,dsl,1,75.8,0,0,0,saved
CUST-00274,61,36.53,2242.25,month_to_month,mailed_check,dsl,1,98.3,0,1,0,saved
CUST-00275,63,46.48,2878.58,month_to_month,mailed_check,dsl,2,89.2,0,1,0,saved
CUST-00276,37,103.51,3829.78,month_to_month,bank_transfer,fiber_optic,0,92.9,0,0,0,saved
CUST-00277,37,59.22,2151.51,one_year,bank_transfer,none,3,,0,0,1,churn_confirmed
